sistema,iteracao,index,views,tabelas_temporarias,operacao,variacao,tempo
POSTGIS,25,None,None,None,D_PM,None,"132,2840197086330"
POSTGIS,26,None,None,None,D_PM,None,"129,3794374465940"
POSTGIS,27,None,None,None,D_PM,None,"132,8236610889430"
POSTGIS,28,None,None,None,D_PM,None,"126,3073265552520"
POSTGIS,29,None,None,None,D_PM,None,"126,7758560180660"
POSTGIS,0,None,None,None,DMAX_API,None,"120,7198450000000"
POSTGIS,1,None,None,None,DMAX_API,None,"122,1658590000000"
POSTGIS,2,None,None,None,DMAX_API,None,"116,9453220000000"
POSTGIS,3,None,None,None,DMAX_API,None,"121,7069870000000"
POSTGIS,4,None,None,None,DMAX_API,None,"118,7283140000000"
POSTGIS,5,None,None,None,DMAX_API,None,"123,3571320000000"
POSTGIS,6,None,None,None,DMAX_API,None,"116,9784560000000"
POSTGIS,7,None,None,None,DMAX_API,None,"118,9384750000000"
POSTGIS,8,None,None,None,DMAX_API,None,"119,5407380000000"
POSTGIS,9,None,None,None,DMAX_API,None,"120,9320850000000"
POSTGIS,10,None,None,None,DMAX_API,None,"119,0983470000000"
POSTGIS,11,None,None,None,DMAX_API,None,"118,9235440000000"
POSTGIS,12,None,None,None,DMAX_API,None,"121,3875400000000"
POSTGIS,13,None,None,None,DMAX_API,None,"118,7881990000000"
POSTGIS,14,None,None,None,DMAX_API,None,"123,9345200000000"
POSTGIS,15,None,None,None,DMAX_API,None,"117,7594070000000"
POSTGIS,16,None,None,None,DMAX_API,None,"121,5373140000000"
POSTGIS,17,None,None,None,DMAX_API,None,"123,2934620000000"
POSTGIS,18,None,None,None,DMAX_API,None,"115,9139680000000"
POSTGIS,19,None,None,None,DMAX_API,None,"117,3791450000000"
POSTGIS,20,None,None,None,DMAX_API,None,"116,5424830000000"
POSTGIS,21,None,None,None,DMAX_API,None,"120,6672410000000"
POSTGIS,22,None,None,None,DMAX_API,None,"118,9425340000000"
POSTGIS,23,None,None,None,DMAX_API,None,"122,6165470000000"
POSTGIS,24,None,None,None,DMAX_API,None,"119,8451260000000"
POSTGIS,25,None,None,None,DMAX_API,None,"121,1428930000000"
POSTGIS,26,None,None,None,DMAX_API,None,"119,2038490000000"
POSTGIS,27,None,None,None,DMAX_API,None,"117,2459310000000"
POSTGIS,28,None,None,None,DMAX_API,None,"121,0467910000000"
POSTGIS,29,None,None,None,DMAX_API,None,"120,1487360000000"
POSTGIS,0,None,None,None,DMED_API,None,"123,1263490000000"
POSTGIS,1,None,None,None,DMED_API,None,"118,8310470000000"
POSTGIS,2,None,None,None,DMED_API,None,"121,5689710000000"
POSTGIS,3,None,None,None,DMED_API,None,"124,4326590000000"
POSTGIS,4,None,None,None,DMED_API,None,"116,9176820000000"
POSTGIS,5,None,None,None,DMED_API,None,"119,6609040000000"
POSTGIS,6,None,None,None,DMED_API,None,"122,1080750000000"
POSTGIS,7,None,None,None,DMED_API,None,"120,6831200000000"
POSTGIS,8,None,None,None,DMED_API,None,"124,2035910000000"
POSTGIS,9,None,None,None,DMED_API,None,"118,3402860000000"
POSTGIS,10,None,None,None,DMED_API,None,"121,9113920000000"
POSTGIS,11,None,None,None,DMED_API,None,"125,3425170000000"
POSTGIS,12,None,None,None,DMED_API,None,"117,9227190000000"
POSTGIS,13,None,None,None,DMED_API,None,"120,1532010000000"
POSTGIS,14,None,None,None,DMED_API,None,"118,5177740000000"
POSTGIS,15,None,None,None,DMED_API,None,"122,8457430000000"
POSTGIS,16,None,None,None,DMED_API,None,"119,7693060000000"
POSTGIS,17,None,None,None,DMED_API,None,"124,0513370000000"
POSTGIS,18,None,None,None,DMED_API,None,"123,8964220000000"
POSTGIS,19,None,None,None,DMED_API,None,"118,2735210000000"
POSTGIS,20,None,None,None,DMED_API,None,"120,8312550000000"
POSTGIS,21,None,None,None,DMED_API,None,"121,7168310000000"
POSTGIS,22,None,None,None,DMED_API,None,"115,6897310000000"
POSTGIS,23,None,None,None,DMED_API,None,"122,5462160000000"
POSTGIS,24,None,None,None,DMED_API,None,"119,3412510000000"
POSTGIS,25,None,None,None,DMED_API,None,"124,9703520000000"
POSTGIS,26,None,None,None,DMED_API,None,"116,8259300000000"
POSTGIS,27,None,None,None,DMED_API,None,"123,7201840000000"
POSTGIS,28,None,None,None,DMED_API,None,"121,5412160000000"
POSTGIS,29,None,None,None,DMED_API,None,"120,2518150000000"
POSTGIS,0,GIST,None,None,DMED_API,None,"78,6207549571991"
POSTGIS,1,GIST,None,None,DMED_API,None,"79,5424478054046"
POSTGIS,2,GIST,None,None,DMED_API,None,"77,5848240852356"
POSTGIS,3,GIST,None,None,DMED_API,None,"78,8061046600341"
POSTGIS,4,GIST,None,None,DMED_API,None,"76,7599151134491"
POSTGIS,5,GIST,None,None,DMED_API,None,"77,7078528404235"
POSTGIS,6,GIST,None,None,DMED_API,None,"79,5657444000244"
POSTGIS,7,GIST,None,None,DMED_API,None,"78,4607255458831"
POSTGIS,8,GIST,None,None,DMED_API,None,"77,9382181167602"
POSTGIS,9,GIST,None,None,DMED_API,None,"79,0413115024566"
POSTGIS,10,GIST,None,None,DMED_API,None,"77,3798673152923"
POSTGIS,11,GIST,None,None,DMED_API,None,"78,3324325084686"
POSTGIS,12,GIST,None,None,DMED_API,None,"79,8152501583099"
POSTGIS,13,GIST,None,None,DMED_API,None,"78,8218617439270"
POSTGIS,14,GIST,None,None,DMED_API,None,"77,4712655544281"
POSTGIS,15,GIST,None,None,DMED_API,None,"79,3251175880432"
POSTGIS,16,GIST,None,None,DMED_API,None,"78,0624637603759"
POSTGIS,17,GIST,None,None,DMED_API,None,"79,2014617919921"
POSTGIS,18,GIST,None,None,DMED_API,None,"77,1408879756927"
POSTGIS,19,GIST,None,None,DMED_API,None,"77,3126654624939"
POSTGIS,20,GIST,None,None,DMED_API,None,"92,3238468170166"
POSTGIS,21,GIST,None,None,DMED_API,None,"85,4045121669769"
POSTGIS,22,GIST,None,None,DMED_API,None,"78,1703333854675"
POSTGIS,23,GIST,None,None,DMED_API,None,"78,6986424922943"
POSTGIS,24,GIST,None,None,DMED_API,None,"79,9092726707458"
POSTGIS,25,GIST,None,None,DMED_API,None,"79,3929414749145"
POSTGIS,26,GIST,None,None,DMED_API,None,"78,1516177654266"
POSTGIS,27,GIST,None,None,DMED_API,None,"79,7534844875335"
POSTGIS,28,GIST,None,None,DMED_API,None,"77,8720357418060"
POSTGIS,29,GIST,None,None,DMED_API,None,"77,6878583431243"
POSTGIS,0,GIST,None,None,DMAX_PM,None,"81,3361907005310"
POSTGIS,1,GIST,None,None,DMAX_PM,None,"82,3470168113708"
POSTGIS,2,GIST,None,None,DMAX_PM,None,"79,6370027065277"
POSTGIS,3,GIST,None,None,DMAX_PM,None,"81,3471133708953"
POSTGIS,4,GIST,None,None,DMAX_PM,None,"83,1533102989196"
POSTGIS,5,GIST,None,None,DMAX_PM,None,"82,7021076679229"
POSTGIS,6,GIST,None,None,DMAX_PM,None,"82,1211497783660"
POSTGIS,7,GIST,None,None,DMAX_PM,None,"79,9264676570892"
POSTGIS,8,GIST,None,None,DMAX_PM,None,"79,7713584899902"
POSTGIS,9,GIST,None,None,DMAX_PM,None,"79,6552984714508"
POSTGIS,10,GIST,None,None,DMAX_PM,None,"82,2425744533538"
POSTGIS,11,GIST,None,None,DMAX_PM,None,"79,6169040203094"
POSTGIS,12,GIST,None,None,DMAX_PM,None,"81,9165384769439"
POSTGIS,13,GIST,None,None,DMAX_PM,None,"79,5882279872894"
POSTGIS,14,GIST,None,None,DMAX_PM,None,"81,6060459613800"
POSTGIS,15,GIST,None,None,DMAX_PM,None,"82,0118899345398"
POSTGIS,16,GIST,None,None,DMAX_PM,None,"79,8261079788208"
POSTGIS,17,GIST,None,None,DMAX_PM,None,"83,3568286895752"
POSTGIS,18,GIST,None,None,DMAX_PM,None,"82,9286491870880"
POSTGIS,19,GIST,None,None,DMAX_PM,None,"82,1791055202484"
POSTGIS,20,GIST,None,None,DMAX_PM,None,"80,2609968185424"
POSTGIS,21,GIST,None,None,DMAX_PM,None,"79,9945971965789"
POSTGIS,22,GIST,None,None,DMAX_PM,None,"81,3013174533844"
POSTGIS,23,GIST,None,None,DMAX_PM,None,"80,1488850116729"
POSTGIS,24,GIST,None,None,DMAX_PM,None,"80,5234365463256"
POSTGIS,25,GIST,None,None,DMAX_PM,None,"81,6159038543701"
POSTGIS,26,GIST,None,None,DMAX_PM,None,"80,0674011707305"
POSTGIS,27,GIST,None,None,DMAX_PM,None,"82,4970114231109"
POSTGIS,28,GIST,None,None,DMAX_PM,None,"82,0856766700744"
POSTGIS,29,GIST,None,None,DMAX_PM,None,"82,5820870399475"
POSTGIS,0,GIST,None,None,DMAX_API,None,"77,7685294151306"
POSTGIS,1,GIST,None,None,DMAX_API,None,"79,5077433586120"
POSTGIS,2,GIST,None,None,DMAX_API,None,"77,6091873645782"
POSTGIS,3,GIST,None,None,DMAX_API,None,"78,7505984306335"
POSTGIS,4,GIST,None,None,DMAX_API,None,"78,5329771041870"
POSTGIS,5,GIST,None,None,DMAX_API,None,"77,7690758705139"
POSTGIS,6,GIST,None,None,DMAX_API,None,"77,1599960327148"
POSTGIS,7,GIST,None,None,DMAX_API,None,"77,9832031726837"
POSTGIS,8,GIST,None,None,DMAX_API,None,"78,9110252857208"
POSTGIS,9,GIST,None,None,DMAX_API,None,"79,5813555717468"
POSTGIS,10,GIST,None,None,DMAX_API,None,"77,5854656696319"
POSTGIS,11,GIST,None,None,DMAX_API,None,"79,9515795707702"
POSTGIS,12,GIST,None,None,DMAX_API,None,"78,0950231552124"
POSTGIS,13,GIST,None,None,DMAX_API,None,"78,3650014400482"
POSTGIS,14,GIST,None,None,DMAX_API,None,"78,0637772083282"
POSTGIS,15,GIST,None,None,DMAX_API,None,"79,1518106460571"
POSTGIS,16,GIST,None,None,DMAX_API,None,"79,2982113361358"
POSTGIS,17,GIST,None,None,DMAX_API,None,"77,2801680564880"
POSTGIS,18,GIST,None,None,DMAX_API,None,"77,3525104522705"
POSTGIS,19,GIST,None,None,DMAX_API,None,"79,3380286693573"
POSTGIS,20,GIST,None,None,DMAX_API,None,"77,9504792690277"
POSTGIS,21,GIST,None,None,DMAX_API,None,"78,2472026348114"
POSTGIS,22,GIST,None,None,DMAX_API,None,"77,7718369960784"
POSTGIS,23,GIST,None,None,DMAX_API,None,"79,1467170715332"
POSTGIS,24,GIST,None,None,DMAX_API,None,"77,5721750259399"
POSTGIS,25,GIST,None,None,DMAX_API,None,"78,2605550289154"
POSTGIS,26,GIST,None,None,DMAX_API,None,"77,5398805141449"
POSTGIS,27,GIST,None,None,DMAX_API,None,"78,7139019966125"
POSTGIS,28,GIST,None,None,DMAX_API,None,"77,6241276264190"
POSTGIS,29,GIST,None,None,DMAX_API,None,"76,9107582569122"
POSTGIS,0,GIST,None,None,D_PM,None,"76,0418868064880"
POSTGIS,1,GIST,None,None,D_PM,None,"74,5938005447387"
POSTGIS,2,GIST,None,None,D_PM,None,"77,6063911914825"
POSTGIS,3,GIST,None,None,D_PM,None,"74,2901813983917"
POSTGIS,4,GIST,None,None,D_PM,None,"77,0452141761779"
POSTGIS,5,GIST,None,None,D_PM,None,"77,2371585369110"
POSTGIS,6,GIST,None,None,D_PM,None,"78,0754511356353"
POSTGIS,7,GIST,None,None,D_PM,None,"74,4578211307525"
POSTGIS,8,GIST,None,None,D_PM,None,"74,8470597267150"
POSTGIS,9,GIST,None,None,D_PM,None,"76,3930675983429"
POSTGIS,10,GIST,None,None,D_PM,None,"75,7676906585693"
POSTGIS,11,GIST,None,None,D_PM,None,"76,6089322566986"
POSTGIS,12,GIST,None,None,D_PM,None,"74,4511840343475"
POSTGIS,13,GIST,None,None,D_PM,None,"76,5691833496093"
POSTGIS,14,GIST,None,None,D_PM,None,"76,0919196605682"
POSTGIS,15,GIST,None,None,D_PM,None,"76,8243200778961"
POSTGIS,16,GIST,None,None,D_PM,None,"75,4499428272247"
POSTGIS,17,GIST,None,None,D_PM,None,"74,6037356853485"
POSTGIS,18,GIST,None,None,D_PM,None,"76,1670551300048"
POSTGIS,19,GIST,None,None,D_PM,None,"75,5603938102722"
POSTGIS,20,GIST,None,None,D_PM,None,"76,2230229377746"
POSTGIS,21,GIST,None,None,D_PM,None,"74,3889975547790"
POSTGIS,22,GIST,None,None,D_PM,None,"74,3656332492828"
POSTGIS,23,GIST,None,None,D_PM,None,"75,7321314811706"
POSTGIS,24,GIST,None,None,D_PM,None,"76,2564198970794"
POSTGIS,25,GIST,None,None,D_PM,None,"75,7469050884246"
POSTGIS,26,GIST,None,None,D_PM,None,"74,7535321712493"
POSTGIS,27,GIST,None,None,D_PM,None,"77,4890866279602"
POSTGIS,28,GIST,None,None,D_PM,None,"76,6232340335846"
POSTGIS,29,GIST,None,None,D_PM,None,"76,0920822620391"
POSTGIS,0,GIST,None,None,PERT,CONTAINS,"24,2302684783935"
POSTGIS,1,GIST,None,None,PERT,CONTAINS,"24,3054468631744"
POSTGIS,2,GIST,None,None,PERT,CONTAINS,"24,3804287910461"
POSTGIS,3,GIST,None,None,PERT,CONTAINS,"24,4510257244110"
POSTGIS,4,GIST,None,None,PERT,CONTAINS,"24,3982894420623"
POSTGIS,5,GIST,None,None,PERT,CONTAINS,"24,5889585018157"
POSTGIS,6,GIST,None,None,PERT,CONTAINS,"24,4028275012969"
POSTGIS,7,GIST,None,None,PERT,CONTAINS,"24,2683081626892"
POSTGIS,8,GIST,None,None,PERT,CONTAINS,"24,8942649364471"
POSTGIS,9,GIST,None,None,PERT,CONTAINS,"24,5140252113342"
POSTGIS,10,GIST,None,None,PERT,CONTAINS,"24,4463162422180"
POSTGIS,11,GIST,None,None,PERT,CONTAINS,"24,4486443996429"
POSTGIS,12,GIST,None,None,PERT,CONTAINS,"24,2905187606811"
POSTGIS,13,GIST,None,None,PERT,CONTAINS,"24,4217486381530"
POSTGIS,14,GIST,None,None,PERT,CONTAINS,"24,3679964542388"
POSTGIS,15,GIST,None,None,PERT,CONTAINS,"24,3031861782073"
POSTGIS,16,GIST,None,None,PERT,CONTAINS,"24,3390920162200"
POSTGIS,17,GIST,None,None,PERT,CONTAINS,"24,2145891189575"
POSTGIS,18,GIST,None,None,PERT,CONTAINS,"24,4838752746582"
POSTGIS,19,GIST,None,None,PERT,CONTAINS,"24,3295376300811"
POSTGIS,20,GIST,None,None,PERT,CONTAINS,"24,4843888282775"
POSTGIS,21,GIST,None,None,PERT,CONTAINS,"24,3802955150604"
POSTGIS,22,GIST,None,None,PERT,CONTAINS,"24,4153587818145"
POSTGIS,23,GIST,None,None,PERT,CONTAINS,"24,3111031055450"
POSTGIS,24,GIST,None,None,PERT,CONTAINS,"24,5979235172271"
POSTGIS,25,GIST,None,None,PERT,CONTAINS,"24,2728576660156"
POSTGIS,26,GIST,None,None,PERT,CONTAINS,"24,3757238388061"
POSTGIS,27,GIST,None,None,PERT,CONTAINS,"24,5704121589660"
POSTGIS,28,GIST,None,None,PERT,CONTAINS,"24,5208461284637"
POSTGIS,29,GIST,None,None,PERT,CONTAINS,"24,3770747184753"
POSTGIS,0,GIST,None,None,PERT,COVEREDBY,"24,2111058235168"
POSTGIS,1,GIST,None,None,PERT,COVEREDBY,"25,0330681800842"
POSTGIS,2,GIST,None,None,PERT,COVEREDBY,"26,3857657909393"
POSTGIS,3,GIST,None,None,PERT,COVEREDBY,"24,3909771442413"
POSTGIS,4,GIST,None,None,PERT,COVEREDBY,"24,3766217231750"
POSTGIS,5,GIST,None,None,PERT,COVEREDBY,"24,3279976844787"
POSTGIS,6,GIST,None,None,PERT,COVEREDBY,"24,4981844425201"
POSTGIS,7,GIST,None,None,PERT,COVEREDBY,"24,7808473110198"
POSTGIS,8,GIST,None,None,PERT,COVEREDBY,"24,3363234996795"
POSTGIS,9,GIST,None,None,PERT,COVEREDBY,"24,3756597042083"
POSTGIS,10,GIST,None,None,PERT,COVEREDBY,"24,3329858779907"
POSTGIS,11,GIST,None,None,PERT,COVEREDBY,"24,4775102138519"
POSTGIS,12,GIST,None,None,PERT,COVEREDBY,"24,7175374031066"
POSTGIS,13,GIST,None,None,PERT,COVEREDBY,"24,1047446727752"
POSTGIS,14,GIST,None,None,PERT,COVEREDBY,"24,3294377326965"
POSTGIS,15,GIST,None,None,PERT,COVEREDBY,"24,4445741176605"
POSTGIS,16,GIST,None,None,PERT,COVEREDBY,"24,6363267898559"
POSTGIS,17,GIST,None,None,PERT,COVEREDBY,"24,1442692279815"
POSTGIS,18,GIST,None,None,PERT,COVEREDBY,"24,4339261054992"
POSTGIS,19,GIST,None,None,PERT,COVEREDBY,"24,3263115882873"
POSTGIS,20,GIST,None,None,PERT,COVEREDBY,"24,3788392543792"
POSTGIS,21,GIST,None,None,PERT,COVEREDBY,"24,3944184780120"
POSTGIS,22,GIST,None,None,PERT,COVEREDBY,"24,2579538822174"
POSTGIS,23,GIST,None,None,PERT,COVEREDBY,"24,1497828960418"
POSTGIS,24,GIST,None,None,PERT,COVEREDBY,"24,3061163425445"
POSTGIS,25,GIST,None,None,PERT,COVEREDBY,"24,7313346862792"
POSTGIS,26,GIST,None,None,PERT,COVEREDBY,"24,4157044887542"
POSTGIS,27,GIST,None,None,PERT,COVEREDBY,"24,3917913436889"
POSTGIS,28,GIST,None,None,PERT,COVEREDBY,"24,4045016765594"
POSTGIS,29,GIST,None,None,PERT,COVEREDBY,"24,2386844158172"
POSTGIS,0,GIST,None,None,PERT,DISJOINT,"98,4502265453338"
POSTGIS,1,GIST,None,None,PERT,DISJOINT,"98,9218559265136"
POSTGIS,2,GIST,None,None,PERT,DISJOINT,"99,7517521381378"
POSTGIS,3,GIST,None,None,PERT,DISJOINT,"98,3597397804260"
POSTGIS,4,GIST,None,None,PERT,DISJOINT,"98,5516073703765"
POSTGIS,5,GIST,None,None,PERT,DISJOINT,"98,0424642562866"
POSTGIS,6,GIST,None,None,PERT,DISJOINT,"98,7683062553405"
POSTGIS,7,GIST,None,None,PERT,DISJOINT,"98,3789420127868"
POSTGIS,8,GIST,None,None,PERT,DISJOINT,"99,3937573432922"
POSTGIS,9,GIST,None,None,PERT,DISJOINT,"98,7813279628753"
POSTGIS,10,GIST,None,None,PERT,DISJOINT,"98,6002025604248"
POSTGIS,11,GIST,None,None,PERT,DISJOINT,"98,8226168155670"
POSTGIS,12,GIST,None,None,PERT,DISJOINT,"98,5613439083099"
POSTGIS,13,GIST,None,None,PERT,DISJOINT,"98,3951370716095"
POSTGIS,14,GIST,None,None,PERT,DISJOINT,"98,5511999130249"
POSTGIS,15,GIST,None,None,PERT,DISJOINT,"98,0736489295959"
POSTGIS,16,GIST,None,None,PERT,DISJOINT,"97,9700512886047"
POSTGIS,17,GIST,None,None,PERT,DISJOINT,"99,8657598495483"
POSTGIS,18,GIST,None,None,PERT,DISJOINT,"99,6156287193298"
POSTGIS,19,GIST,None,None,PERT,DISJOINT,"98,2247781753540"
POSTGIS,20,GIST,None,None,PERT,DISJOINT,"96,1356735229492"
POSTGIS,21,GIST,None,None,PERT,DISJOINT,"98,5021793842315"
POSTGIS,22,GIST,None,None,PERT,DISJOINT,"98,2148962020874"
POSTGIS,23,GIST,None,None,PERT,DISJOINT,"98,9515438079834"
POSTGIS,24,GIST,None,None,PERT,DISJOINT,"100,8457117080680"
POSTGIS,25,GIST,None,None,PERT,DISJOINT,"95,8713443279266"
POSTGIS,26,GIST,None,None,PERT,DISJOINT,"98,3396809101104"
POSTGIS,27,GIST,None,None,PERT,DISJOINT,"98,5455210208892"
POSTGIS,28,GIST,None,None,PERT,DISJOINT,"98,1801638603210"
POSTGIS,29,GIST,None,None,PERT,DISJOINT,"98,7471396923065"
POSTGIS,0,GIST,None,None,PERT,INTERSECTS,"24,3243496417999"
POSTGIS,1,GIST,None,None,PERT,INTERSECTS,"24,3618516921997"
POSTGIS,2,GIST,None,None,PERT,INTERSECTS,"24,2779769897460"
POSTGIS,3,GIST,None,None,PERT,INTERSECTS,"24,3678243160247"
POSTGIS,4,GIST,None,None,PERT,INTERSECTS,"23,6872358322143"
POSTGIS,5,GIST,None,None,PERT,INTERSECTS,"24,3656294345855"
POSTGIS,6,GIST,None,None,PERT,INTERSECTS,"24,3658852577209"
POSTGIS,7,GIST,None,None,PERT,INTERSECTS,"24,2776985168457"
POSTGIS,8,GIST,None,None,PERT,INTERSECTS,"24,2863073348999"
POSTGIS,9,GIST,None,None,PERT,INTERSECTS,"24,3376767635345"
POSTGIS,10,GIST,None,None,PERT,INTERSECTS,"24,2774405479431"
POSTGIS,11,GIST,None,None,PERT,INTERSECTS,"24,2780919075012"
POSTGIS,12,GIST,None,None,PERT,INTERSECTS,"24,3136906623840"
POSTGIS,13,GIST,None,None,PERT,INTERSECTS,"24,3162593841552"
POSTGIS,14,GIST,None,None,PERT,INTERSECTS,"24,7034771442413"
POSTGIS,15,GIST,None,None,PERT,INTERSECTS,"24,2715811729431"
POSTGIS,16,GIST,None,None,PERT,INTERSECTS,"24,1837129592895"
POSTGIS,17,GIST,None,None,PERT,INTERSECTS,"24,2391428947448"
POSTGIS,18,GIST,None,None,PERT,INTERSECTS,"24,2978422641754"
POSTGIS,19,GIST,None,None,PERT,INTERSECTS,"24,3226778507232"
POSTGIS,20,GIST,None,None,PERT,INTERSECTS,"24,4079227447509"
POSTGIS,21,GIST,None,None,PERT,INTERSECTS,"24,4321260452270"
POSTGIS,22,GIST,None,None,PERT,INTERSECTS,"24,3066403865814"
POSTGIS,23,GIST,None,None,PERT,INTERSECTS,"24,3234243392944"
POSTGIS,24,GIST,None,None,PERT,INTERSECTS,"24,4244215488433"
POSTGIS,25,GIST,None,None,PERT,INTERSECTS,"24,3501744270324"
POSTGIS,26,GIST,None,None,PERT,INTERSECTS,"24,1211886405944"
POSTGIS,27,GIST,None,None,PERT,INTERSECTS,"24,4011054039001"
POSTGIS,28,GIST,None,None,PERT,INTERSECTS,"23,7351315021514"
POSTGIS,29,GIST,None,None,PERT,INTERSECTS,"24,7101600170135"
POSTGIS,0,GIST,None,None,PERT,WITHIN,"24,6893794536590"
POSTGIS,1,GIST,None,None,PERT,WITHIN,"24,5079486370086"
